分区大小（举例）	分区时应该输入的数字
10G		10245
20G		20482
30G		30726
40G		40963
50G		51208
60G		61444
70G		71681
80G		81926
90G		92162
100G	102407
110G	112644
120G	122888
130G	133125
140G	143362
150G	153606
160G	163843
170G	174088
180G	184324
190G	194561
200G	204806
210G	215042
220G	225287
230G	235524
240G	245768
250G	256005
260G	266242
270G	276486
280G	286723
290G	296968
300G	307204
310G	317441
320G	327686
330G	337922
340G	348167
350G	358404
360G	368648
370G	378885
380G	389122
390G	399366
400G	409603
410G	419848
420G	430084
430G	440321
440G	450566
450G	460802
460G	471047
470G	481284
480G	491528
490G	501765
500G	512002
